Clase,Precision,Recall,F1-score
0,0.8933333333333333,0.8701298701298701,0.881578947368421
1,0.8205128205128205,0.7191011235955056,0.7664670658682635
2,0.6341463414634146,0.5777777777777777,0.6046511627906976
3,0.6363636363636364,0.7887323943661971,0.7044025157232704
4,0.5789473684210527,0.7021276595744681,0.6346153846153846
5,0.5,0.7142857142857143,0.5882352941176471
6,0.6862745098039216,0.42168674698795183,0.5223880597014925
7,0.6111111111111112,0.6790123456790124,0.6432748538011696
8,0.9069767441860465,0.8041237113402062,0.8524590163934426
Accuracy Global,0.7027863777089783,,
